figure_id,figure_family_code,figure_family_label,case_id,phase_or_track,date_token,model_names,run_type,scenario_id,view_type,variant,relative_path,file_path,pixel_width,pixel_height,short_plain_language_interpretation,recommended_for_main_defense,recommended_for_paper,source_paths,notes
case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13,observation,single_seed_observation,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png,742,1033,This figure shows the promoted March 13 NOAA release geometry that seeds the next-day reinit validation.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_mask_on_grid.png,Copied from the completed March 13 -> March 14 reinit QA bundle.
case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13_to_2023-03-14,observation,single_seed_target_compare,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png,742,1033,This figure makes the promoted next-day validation geometry explicit before model overlays are introduced.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march13_seed_vs_march14_target.png,Copied from the completed March 13 -> March 14 reinit QA bundle.
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-13_to_2023-03-14,opendrift,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__comparison_board__2023_03_13_to_2023_03_14__board__slide__mindoro_primary_validation_board.png,3520,1980,This is now the main Mindoro presentation board because it centers the promoted March 13 -> March 14 validation pair and the best OpenDrift result.,True,False,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_observation__2023_03_13__single__paper__march13_seed_mask_on_grid.png | output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__observation__single_seed_target_compare__2023_03_13_to_2023_03_14__single__paper__march13_seed_vs_march14_target.png | output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png | output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r0_overlay.png,Board assembled from the completed March 13 -> March 14 reinit QA figures only.
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r0_overlay,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-14,opendrift,single_primary_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r0_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r0_overlay.png,742,1033,This companion figure shows the baseline stranding branch so the promoted R1 result can be compared against it honestly.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march14_reinit_R0_overlay.png,Copied from the completed March 13 -> March 14 reinit QA bundle.
case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay,A,Mindoro March 13 -> March 14 primary validation package,CASE_MINDORO_RETRO_2023,phase3b_reinit_primary,2023-03-14,opendrift,single_primary_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_reinit_primary__opendrift__single_primary_overlay__2023_03_14__single__paper__march14_r1_previous_overlay.png,742,1033,This is the promoted primary Mindoro validation overlay and should be used as the main March 14 result figure.,True,True,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit/qa_march14_reinit_R1_previous_overlay.png,Copied from the completed March 13 -> March 14 reinit QA bundle.
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r0_overlay,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift,single_model_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r0_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r0_overlay.png,742,1033,This figure keeps the baseline OpenDrift branch visible in the promoted March 14 cross-model discussion.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_R0_reinit_p50_overlay.png,Copied from the completed March 13 -> March 14 cross-model comparison bundle.
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift,single_model_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png,742,1033,This figure shows the top-ranked OpenDrift model in the promoted March 14 cross-model bundle.,True,True,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_R1_previous_reinit_p50_overlay.png,Copied from the completed March 13 -> March 14 cross-model comparison bundle.
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,opendrift_vs_pygnome,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_board__2023_03_14__board__slide__mindoro_crossmodel_board.png,3520,1980,This board answers the cross-model question on the promoted March 14 target without treating PyGNOME as truth.,True,False,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r1_overlay.png | output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_r0_overlay.png | output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,Board assembled from the completed March 13 -> March 14 cross-model QA figures only.
case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay,B,Mindoro March 13 -> March 14 cross-model publication package,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,2023-03-14,pygnome,single_model_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3a_reinit_crossmodel__pygnome__single_model_overlay__2023_03_14__single__paper__march14_crossmodel_pygnome_overlay.png,742,1033,This figure preserves the PyGNOME comparator in the promoted March 14 lane without treating it as truth.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_pygnome_reinit_deterministic_overlay.png,Copied from the completed March 13 -> March 14 cross-model comparison bundle.
case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__comparison_board__2023_03_06__board__slide__mindoro_legacy_march6_board,C,Mindoro legacy March 6 honesty / limitations package,CASE_MINDORO_RETRO_2023,phase3b_legacy_strict,2023-03-06,opendrift,comparison_board,,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__comparison_board__2023_03_06__board__slide__mindoro_legacy_march6_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__comparison_board__2023_03_06__board__slide__mindoro_legacy_march6_board.png,3520,1980,"This board preserves the March 6 sparse-reference material transparently, but it is no longer the canonical main-validation board.",False,False,output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_overlay__2023_03_06__single__paper__legacy_strict_overlay.png | output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_context__2023_03_03_to_2023_03_06__single__paper__legacy_strict_context.png,Board assembled from the stored strict March 6 QA figures only.
case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_context__2023_03_03_to_2023_03_06__single__paper__legacy_strict_context,C,Mindoro legacy March 6 honesty / limitations package,CASE_MINDORO_RETRO_2023,phase3b_legacy_strict,2023-03-03_to_2023-03-06,opendrift,single_legacy_context,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_context__2023_03_03_to_2023_03_06__single__paper__legacy_strict_context.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_context__2023_03_03_to_2023_03_06__single__paper__legacy_strict_context.png,668,1007,This context figure explains how the legacy March 6 slice fits into the older Mindoro framing without pretending it is still the main result.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_source_init_validation_overlay.png,Copied from the stored strict March 6 QA bundle.
case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_overlay__2023_03_06__single__paper__legacy_strict_overlay,C,Mindoro legacy March 6 honesty / limitations package,CASE_MINDORO_RETRO_2023,phase3b_legacy_strict,2023-03-06,opendrift,single_legacy_overlay,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_overlay__2023_03_06__single__paper__legacy_strict_overlay.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase3b_legacy_strict__opendrift__single_legacy_overlay__2023_03_06__single__paper__legacy_strict_overlay.png,876,985,This figure is kept as the legacy sparse-reference honesty view rather than the promoted primary validation image.,False,False,output/CASE_MINDORO_RETRO_2023/phase3b/qa_phase3b_obsmask_vs_p50.png,Copied from the stored strict March 6 QA bundle.
case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__oil_budget_board,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,comparison_board,all_scenarios,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__oil_budget_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__oil_budget_board.png,3520,1980,This board is ready for panel use because it turns the Phase 4 oil-type tables into an immediately readable weathering story.,True,False,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__oil_budget_summary.png | output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__lighter_oil__single__paper__oil_budget_timeseries.png | output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__single__paper__oil_budget_timeseries.png | output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__heavier_oil__single__paper__oil_budget_timeseries.png,Board assembled from publication-grade Phase 4 oil-budget figures only.
case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__shoreline_impact_board,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,comparison_board,all_scenarios,board,slide,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__shoreline_impact_board.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__comparison_board__2023_03_03_to_2023_03_06__all_scenarios__board__slide__shoreline_impact_board.png,3520,1980,This board is ready for panel use because it makes the shoreline-impact story legible without asking the reader to parse raw CSVs.,True,False,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__shoreline_arrival.png | output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_map__2023_03_03_to_2023_03_06__all_scenarios__close__paper__shoreline_segment_impacts.png,Board assembled from publication-grade shoreline figures only.
case_mindoro_retro_2023__phase4__openoil__single_map__2023_03_03_to_2023_03_06__all_scenarios__close__paper__shoreline_segment_impacts,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_map,all_scenarios,close,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_map__2023_03_03_to_2023_03_06__all_scenarios__close__paper__shoreline_segment_impacts.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_map__2023_03_03_to_2023_03_06__all_scenarios__close__paper__shoreline_segment_impacts.png,2860,1760,This figure translates the Phase 4 shoreline table into a readable shoreline-impact map for non-technical readers.,False,True,data/arcgis/CASE_MINDORO_RETRO_2023/source_point_metadata_processed.gpkg | output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_segments.csv,Built from the stored Phase 4 shoreline segment CSV and shoreline geometry only.
case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__single__paper__oil_budget_timeseries,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_scenario,fixed_base_medium_heavy_proxy,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__single__paper__oil_budget_timeseries.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__fixed_base_medium_heavy_proxy__single__paper__oil_budget_timeseries.png,2860,1760,This paper-ready figure shows the medium-heavy proxy scenario that is still flagged for mass-balance follow-up.,False,True,output/phase4/CASE_MINDORO_RETRO_2023/phase4_oil_budget_timeseries_fixed_base_medium_heavy_proxy.csv,Built from the stored medium-heavy timeseries CSV only.
case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__heavier_oil__single__paper__oil_budget_timeseries,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_scenario,heavier_oil,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__heavier_oil__single__paper__oil_budget_timeseries.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__heavier_oil__single__paper__oil_budget_timeseries.png,2860,1760,"This paper-ready figure shows the slow-weathering, high-stranding behavior of the heavy-oil scenario.",False,True,output/phase4/CASE_MINDORO_RETRO_2023/phase4_oil_budget_timeseries_heavier_oil.csv,Built from the stored heavier-oil timeseries CSV only.
case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__lighter_oil__single__paper__oil_budget_timeseries,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_scenario,lighter_oil,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__lighter_oil__single__paper__oil_budget_timeseries.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_scenario__2023_03_03_to_2023_03_06__lighter_oil__single__paper__oil_budget_timeseries.png,2860,1760,This paper-ready figure shows the rapid evaporation-dominated behavior of the light-oil scenario.,False,True,output/phase4/CASE_MINDORO_RETRO_2023/phase4_oil_budget_timeseries_lighter_oil.csv,Built from the stored lighter-oil timeseries CSV only.
case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__oil_budget_summary,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_summary,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__oil_budget_summary.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__oil_budget_summary.png,2860,1760,This summary figure is the fastest way to show how oil type changes the final weathering and shoreline burden story.,True,True,output/phase4/CASE_MINDORO_RETRO_2023/phase4_oil_budget_summary.csv,Built from the stored Phase 4 oil-budget summary CSV only.
case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__shoreline_arrival,E,Mindoro Phase 4 OpenDrift-only publication package,CASE_MINDORO_RETRO_2023,phase4,2023-03-03_to_2023-03-06,openoil,single_summary,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__shoreline_arrival.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4__openoil__single_summary__2023_03_03_to_2023_03_06__single__paper__shoreline_arrival.png,2860,1760,This figure gives the panel a clear timing summary of when each oil scenario first reaches shoreline segments.,True,True,output/phase4/CASE_MINDORO_RETRO_2023/phase4_shoreline_arrival.csv,Built from the stored shoreline-arrival CSV only.
case_mindoro_retro_2023__phase4_crossmodel_comparability_audit__openoil_only__single_note__2023_03_03_to_2023_03_06__single__paper__crossmodel_comparison_deferred,F,Mindoro Phase 4 cross-model deferred note package,CASE_MINDORO_RETRO_2023,phase4_crossmodel_comparability_audit,2023-03-03_to_2023-03-06,openoil_only,single_note,,single,paper,output/figure_package_publication/case_mindoro_retro_2023__phase4_crossmodel_comparability_audit__openoil_only__single_note__2023_03_03_to_2023_03_06__single__paper__crossmodel_comparison_deferred.png,/app/output/figure_package_publication/case_mindoro_retro_2023__phase4_crossmodel_comparability_audit__openoil_only__single_note__2023_03_03_to_2023_03_06__single__paper__crossmodel_comparison_deferred.png,2860,1760,This figure explains why the publication package includes OpenDrift-only Phase 4 figures and does not include a fake OpenDrift-versus-PyGNOME Phase 4 comparison.,False,False,output/phase4_crossmodel_comparability_audit/phase4_crossmodel_comparability_matrix.csv | output/phase4_crossmodel_comparability_audit/phase4_crossmodel_final_verdict.md | output/phase4_crossmodel_comparability_audit/phase4_crossmodel_blockers.md,Built from the stored Phase 4 cross-model comparability audit only.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__daily_deterministic_board,G,DWH deterministic publication package,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-21_to_2010-05-23,opendrift,comparison_board,,board,slide,output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__daily_deterministic_board.png,/app/output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__comparison_board__2010_05_21_to_2010_05_23__board__slide__daily_deterministic_board.png,3520,1980,This board is ready for panel use because it shows the daily DWH comparisons with the same readable grammar across all three dates.,True,False,output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_21__zoom__paper__forecast_vs_observation.png | output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_22__zoom__paper__forecast_vs_observation.png | output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_23__zoom__paper__forecast_vs_observation.png,Board assembled from publication-grade single figures only.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_21__zoom__paper__forecast_vs_observation,G,DWH deterministic publication package,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-21,opendrift,single_overlay,,zoom,paper,output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_21__zoom__paper__forecast_vs_observation.png,/app/output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_21__zoom__paper__forecast_vs_observation.png,2860,1760,This daily figure shows the first DWH date-composite comparison with both the forecast and observed footprint clearly visible.,False,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/processed/layer_00_dwh_wellhead_processed.gpkg | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-21.tif | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-21_datecomposite.tif,Built from stored DWH observation and deterministic forecast rasters only.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_22__zoom__paper__forecast_vs_observation,G,DWH deterministic publication package,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-22,opendrift,single_overlay,,zoom,paper,output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_22__zoom__paper__forecast_vs_observation.png,/app/output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_22__zoom__paper__forecast_vs_observation.png,2860,1760,This daily figure shows the second DWH date-composite comparison with the same publication grammar.,False,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/processed/layer_00_dwh_wellhead_processed.gpkg | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-22.tif | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-22_datecomposite.tif,Built from stored DWH observation and deterministic forecast rasters only.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_23__zoom__paper__forecast_vs_observation,G,DWH deterministic publication package,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,2010-05-23,opendrift,single_overlay,,zoom,paper,output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_23__zoom__paper__forecast_vs_observation.png,/app/output/figure_package_publication/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__single_overlay__2010_05_23__zoom__paper__forecast_vs_observation.png,2860,1760,This daily figure shows the third DWH date-composite comparison with the same publication grammar.,False,True,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/processed/layer_00_dwh_wellhead_processed.gpkg | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/obs_mask_2010-05-23.tif | output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/control_footprint_mask_2010-05-23_datecomposite.tif,Built from stored DWH observation and deterministic forecast rasters only.
