month_key,required_start_utc,required_end_utc,cache_present_before,coverage_start_utc_before,coverage_end_utc_before,reader_metadata_ok_before,coverage_ok_before,status,gfs_source_system,gfs_source_tier,gfs_source_inferred,gfs_primary_failure,cache_path,staged_from_cache_path,provenance_sidecar,cache_present_after,coverage_start_utc_after,coverage_end_utc_after,reader_metadata_ok_after,coverage_ok_after,valid_after
201612,2016-12-05T12:00:00+00:00,2017-01-03T06:00:00+00:00,True,2016-12-05T06:00:00+00:00,2017-01-03T12:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201612/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201612/gfs_wind.provenance.json,True,2016-12-05T06:00:00+00:00,2017-01-03T12:00:00+00:00,True,True,True
201701,2017-01-01T06:00:00+00:00,2017-02-01T00:00:00+00:00,True,2017-01-01T00:00:00+00:00,2017-02-01T06:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201701/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201701/gfs_wind.provenance.json,True,2017-01-01T00:00:00+00:00,2017-02-01T06:00:00+00:00,True,True,True
201702,2017-02-01T06:00:00+00:00,2017-03-02T00:00:00+00:00,True,2017-02-01T00:00:00+00:00,2017-03-02T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201702/gfs_wind.provenance.json,True,2017-02-01T00:00:00+00:00,2017-03-02T18:00:00+00:00,True,True,True
201703,2017-03-02T06:00:00+00:00,2017-03-11T18:00:00+00:00,True,2017-03-01T00:00:00+00:00,2017-03-12T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201703/gfs_wind.provenance.json,True,2017-03-01T00:00:00+00:00,2017-03-12T18:00:00+00:00,True,True,True
201706,2017-06-09T06:00:00+00:00,2017-06-12T06:00:00+00:00,True,2017-06-09T00:00:00+00:00,2017-06-12T12:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201706/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201706/gfs_wind.provenance.json,True,2017-06-09T00:00:00+00:00,2017-06-12T12:00:00+00:00,True,True,True
201707,2017-07-27T12:00:00+00:00,2017-08-02T18:00:00+00:00,True,2017-07-05T00:00:00+00:00,2017-08-02T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201707/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201707/gfs_wind.provenance.json,True,2017-07-05T00:00:00+00:00,2017-08-02T18:00:00+00:00,True,True,True
201708,2017-08-25T12:00:00+00:00,2017-08-28T12:00:00+00:00,True,2017-08-01T00:00:00+00:00,2017-08-28T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201708/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201708/gfs_wind.provenance.json,True,2017-08-01T00:00:00+00:00,2017-08-28T18:00:00+00:00,True,True,True
201710,2017-10-27T12:00:00+00:00,2017-10-30T12:00:00+00:00,True,2017-10-27T06:00:00+00:00,2017-10-30T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201710/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201710/gfs_wind.provenance.json,True,2017-10-27T06:00:00+00:00,2017-10-30T18:00:00+00:00,True,True,True
201804,2018-04-18T06:00:00+00:00,2018-04-21T06:00:00+00:00,True,2018-04-17T00:00:00+00:00,2018-04-24T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201804/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201804/gfs_wind.provenance.json,True,2018-04-17T00:00:00+00:00,2018-04-24T18:00:00+00:00,True,True,True
201807,2018-07-07T06:00:00+00:00,2018-07-10T06:00:00+00:00,True,2018-07-06T00:00:00+00:00,2018-07-10T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201807/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201807/gfs_wind.provenance.json,True,2018-07-06T00:00:00+00:00,2018-07-10T18:00:00+00:00,True,True,True
201809,2018-09-22T18:00:00+00:00,2018-10-02T06:00:00+00:00,True,2018-09-21T00:00:00+00:00,2018-10-02T18:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201809/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201809/gfs_wind.provenance.json,True,2018-09-21T00:00:00+00:00,2018-10-02T18:00:00+00:00,True,True,True
201909,2019-09-22T06:00:00+00:00,2019-09-28T12:00:00+00:00,True,2019-09-20T00:00:00+00:00,2019-10-03T06:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201909/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201909/gfs_wind.provenance.json,True,2019-09-20T00:00:00+00:00,2019-10-03T06:00:00+00:00,True,True,True
201912,2019-12-13T12:00:00+00:00,2019-12-23T00:00:00+00:00,True,2019-12-13T06:00:00+00:00,2019-12-23T06:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,False,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201912/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/201912/gfs_wind.provenance.json,True,2019-12-13T06:00:00+00:00,2019-12-23T06:00:00+00:00,True,True,True
202103,2021-03-06T12:00:00+00:00,2021-03-09T12:00:00+00:00,True,2021-03-05T12:00:00+00:00,2021-03-12T06:00:00+00:00,True,True,already_present,ncei_thredds_archive,primary,True,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/202103/gfs_wind.nc,,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/forcing_months/202103/gfs_wind.provenance.json,True,2021-03-05T12:00:00+00:00,2021-03-12T06:00:00+00:00,True,True,True
