workflow_mode,store_scope,month_key,source_id,status,path,chunk_start_utc,chunk_end_utc,row_count,staged_from_legacy_path,source_system,source_tier
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201601,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201601.csv,2016-01-01T00:00:00+00:00,2016-01-31T23:59:59+00:00,226,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201602,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201602.csv,2016-02-01T00:00:00+00:00,2016-02-29T23:59:59+00:00,313,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201603,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201603.csv,2016-03-01T00:00:00+00:00,2016-03-31T23:59:59+00:00,348,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201604,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201604.csv,2016-04-01T00:00:00+00:00,2016-04-30T23:59:59+00:00,161,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201605,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201605.csv,2016-05-01T00:00:00+00:00,2016-05-31T23:59:59+00:00,285,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201606,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201606.csv,2016-06-01T00:00:00+00:00,2016-06-30T23:59:59+00:00,330,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201607,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201607.csv,2016-07-01T00:00:00+00:00,2016-07-31T23:59:59+00:00,395,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201608,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201608.csv,2016-08-01T00:00:00+00:00,2016-08-31T23:59:59+00:00,480,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201609,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201609.csv,2016-09-01T00:00:00+00:00,2016-09-30T23:59:59+00:00,373,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201610,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201610.csv,2016-10-01T00:00:00+00:00,2016-10-31T23:59:59+00:00,155,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201611,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201611.csv,2016-11-01T00:00:00+00:00,2016-11-30T23:59:59+00:00,339,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201612,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201612.csv,2016-12-01T00:00:00+00:00,2016-12-31T23:59:59+00:00,1232,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201701,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201701.csv,2017-01-01T00:00:00+00:00,2017-01-31T23:59:59+00:00,1706,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201702,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201702.csv,2017-02-01T00:00:00+00:00,2017-02-28T23:59:59+00:00,891,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201703,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201703.csv,2017-03-01T00:00:00+00:00,2017-03-31T23:59:59+00:00,676,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201704,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201704.csv,2017-04-01T00:00:00+00:00,2017-04-30T23:59:59+00:00,601,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201705,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201705.csv,2017-05-01T00:00:00+00:00,2017-05-31T23:59:59+00:00,939,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201706,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201706.csv,2017-06-01T00:00:00+00:00,2017-06-30T23:59:59+00:00,1047,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201707,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201707.csv,2017-07-01T00:00:00+00:00,2017-07-31T23:59:59+00:00,558,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201708,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201708.csv,2017-08-01T00:00:00+00:00,2017-08-31T23:59:59+00:00,314,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201709,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201709.csv,2017-09-01T00:00:00+00:00,2017-09-30T23:59:59+00:00,105,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201710,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201710.csv,2017-10-01T00:00:00+00:00,2017-10-31T23:59:59+00:00,643,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201711,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201711.csv,2017-11-01T00:00:00+00:00,2017-11-30T23:59:59+00:00,393,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201712,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201712.csv,2017-12-01T00:00:00+00:00,2017-12-31T23:59:59+00:00,169,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201801,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201801.csv,2018-01-01T00:00:00+00:00,2018-01-31T23:59:59+00:00,255,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201802,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201802.csv,2018-02-01T00:00:00+00:00,2018-02-28T23:59:59+00:00,281,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201803,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201803.csv,2018-03-01T00:00:00+00:00,2018-03-31T23:59:59+00:00,364,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201804,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201804.csv,2018-04-01T00:00:00+00:00,2018-04-30T23:59:59+00:00,367,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201805,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201805.csv,2018-05-01T00:00:00+00:00,2018-05-31T23:59:59+00:00,274,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201806,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201806.csv,2018-06-01T00:00:00+00:00,2018-06-30T23:59:59+00:00,300,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201807,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201807.csv,2018-07-01T00:00:00+00:00,2018-07-31T23:59:59+00:00,318,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201808,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201808.csv,2018-08-01T00:00:00+00:00,2018-08-31T23:59:59+00:00,291,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201809,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201809.csv,2018-09-01T00:00:00+00:00,2018-09-30T23:59:59+00:00,423,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201810,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201810.csv,2018-10-01T00:00:00+00:00,2018-10-31T23:59:59+00:00,209,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201811,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201811.csv,2018-11-01T00:00:00+00:00,2018-11-30T23:59:59+00:00,74,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201812,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201812.csv,2018-12-01T00:00:00+00:00,2018-12-31T23:59:59+00:00,165,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201901,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201901.csv,2019-01-01T00:00:00+00:00,2019-01-31T23:59:59+00:00,42,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201902,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201902.csv,2019-02-01T00:00:00+00:00,2019-02-28T23:59:59+00:00,259,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201903,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201903.csv,2019-03-01T00:00:00+00:00,2019-03-31T23:59:59+00:00,51,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201904,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201904.csv,2019-04-01T00:00:00+00:00,2019-04-30T23:59:59+00:00,35,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201905,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201905.csv,2019-05-01T00:00:00+00:00,2019-05-31T23:59:59+00:00,167,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201906,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201906.csv,2019-06-01T00:00:00+00:00,2019-06-30T23:59:59+00:00,191,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201907,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201907.csv,2019-07-01T00:00:00+00:00,2019-07-31T23:59:59+00:00,171,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201908,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201908.csv,2019-08-01T00:00:00+00:00,2019-08-31T23:59:59+00:00,275,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201909,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201909.csv,2019-09-01T00:00:00+00:00,2019-09-30T23:59:59+00:00,354,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201910,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201910.csv,2019-10-01T00:00:00+00:00,2019-10-31T23:59:59+00:00,532,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201911,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201911.csv,2019-11-01T00:00:00+00:00,2019-11-30T23:59:59+00:00,410,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,201912,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/201912.csv,2019-12-01T00:00:00+00:00,2019-12-31T23:59:59+00:00,287,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202001,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202001.csv,2020-01-01T00:00:00+00:00,2020-01-31T23:59:59+00:00,58,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202002,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202002.csv,2020-02-01T00:00:00+00:00,2020-02-29T23:59:59+00:00,124,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202003,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202003.csv,2020-03-01T00:00:00+00:00,2020-03-31T23:59:59+00:00,29,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202004,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202004.csv,2020-04-01T00:00:00+00:00,2020-04-30T23:59:59+00:00,25,,,
phase1_mindoro_focus_pre_spill_2016_2023,phase1_monthly_drifter_store,202005,drifters,cached,data/historical_validation_inputs/phase1_mindoro_focus_pre_spill_2016_2023/drifter_chunks/202005.csv,2020-05-01T00:00:00+00:00,2020-05-31T23:59:59+00:00,70,,,
