figure_id,figure_group_code,figure_group_id,figure_group_label,case_id,phase_or_track,model_name,run_type,date_token,scenario_id,figure_slug,relative_path,filename,generation_mode,ready_for_panel_presentation,provisional_context,source_paths,notes,status_key,status_label,status_role,status_reportability,status_official_status,status_frozen_status,status_provenance,status_panel_text,status_dashboard_summary
case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay,G,dwh_ensemble_p50_p90_overlays,DWH ensemble p50/p90 overlays,CASE_DWH_RETRO_2010_72H,phase3c_ensemble,opendrift,ensemble_overlay,2010-05-21_to_2010-05-23,,eventcorridor_overlay,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png,case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png,copied_existing_qa,True,"DWH transfer-validation visuals are reportable, but the upstream transport baseline story remains inherited-provisional.",output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/qa_phase3c_ensemble_eventcorridor_overlay.png,Existing DWH event-corridor p50/p90 overlay reused from the stored ensemble comparison QA bundle.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays,G,dwh_ensemble_p50_p90_overlays,DWH ensemble p50/p90 overlays,CASE_DWH_RETRO_2010_72H,phase3c_ensemble,opendrift,ensemble_overlay,2010-05-21_to_2010-05-23,,p50_p90_overlays,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png,case_dwh_retro_2010_72h__phase3c_ensemble__opendrift__ensemble_overlay__2010_05_21_to_2010_05_23__p50_p90_overlays.png,copied_existing_qa,True,"DWH transfer-validation visuals are reportable, but the upstream transport baseline story remains inherited-provisional.",output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_ensemble_comparison/qa_phase3c_ensemble_overlays.png,Existing DWH ensemble overlay reused from the stored Phase 3C ensemble comparison bundle.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths,F,dwh_deterministic_track_paths,DWH deterministic track/path visuals,CASE_DWH_RETRO_2010_72H,phase3c_external_case_run,opendrift,deterministic_track_map,2010-05-20_to_2010-05-23,,sampled_particle_paths,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png,case_dwh_retro_2010_72h__phase3c_external_case_run__opendrift__deterministic_track_map__2010_05_20_to_2010_05_23__sampled_particle_paths.png,generated_from_existing_tracks,True,"DWH transfer-validation visuals are reportable, but the upstream transport baseline story remains inherited-provisional.",output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/tracks/opendrift_control_dwh_phase3c.nc;output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_run/products/obs_mask_2010-05-21_2010-05-23_eventcorridor.tif,Generated from the stored DWH deterministic OpenDrift control NetCDF with the public observation event-corridor mask shown as context.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay,H,dwh_opendrift_vs_pygnome_comparison_maps,DWH OpenDrift vs PyGNOME comparison maps,CASE_DWH_RETRO_2010_72H,phase3c_pygnome_comparator,opendrift_vs_pygnome,comparison_overlay,2010-05-21_to_2010-05-23,,eventcorridor_overlay,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png,case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__eventcorridor_overlay.png,copied_existing_qa,True,"DWH transfer-validation visuals are reportable, but the upstream transport baseline story remains inherited-provisional.",output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/qa_phase3c_dwh_pygnome_eventcorridor_overlay.png,Existing DWH OpenDrift vs PyGNOME event-corridor comparison reused from the comparator bundle.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__per_date_overlays,H,dwh_opendrift_vs_pygnome_comparison_maps,DWH OpenDrift vs PyGNOME comparison maps,CASE_DWH_RETRO_2010_72H,phase3c_pygnome_comparator,opendrift_vs_pygnome,comparison_overlay,2010-05-21_to_2010-05-23,,per_date_overlays,output/trajectory_gallery/case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__per_date_overlays.png,case_dwh_retro_2010_72h__phase3c_pygnome_comparator__opendrift_vs_pygnome__comparison_overlay__2010_05_21_to_2010_05_23__per_date_overlays.png,copied_existing_qa,True,"DWH transfer-validation visuals are reportable, but the upstream transport baseline story remains inherited-provisional.",output/CASE_DWH_RETRO_2010_72H/phase3c_dwh_pygnome_comparator/qa_phase3c_dwh_pygnome_overlays.png,Existing DWH OpenDrift vs PyGNOME per-date overlay reused from the comparator bundle.,dwh_trajectory_context,DWH trajectory context,trajectory_context,appendix_support_context,trajectory_context_only,not_frozen,"Stored deterministic, ensemble, and comparator tracks shown as path context.",Path-intuition context before or after the score-based boards.,Trajectory appendix-support context.
case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths,A,mindoro_deterministic_track_paths,Mindoro deterministic track/path visuals,CASE_MINDORO_RETRO_2023,phase2_official,opendrift,deterministic_track_map,2023-03-03_to_2023-03-06,,sampled_particle_paths,output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths.png,case_mindoro_retro_2023__phase2_official__opendrift__deterministic_track_map__2023_03_03_to_2023_03_06__sampled_particle_paths.png,generated_from_existing_tracks,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/forecast/deterministic_control_cmems_era5.nc,Generated from the stored Mindoro deterministic OpenDrift control NetCDF using sampled particle tracks and a centroid path.,mindoro_trajectory_context,Mindoro transport trajectory context,trajectory_context,scientifically_usable_not_frozen,official_transport_context_not_frozen,not_frozen,Phase 2 / Phase 3 transport context built from stored trajectory outputs.,Read-only transport context preserved from stored trajectory outputs. This layer is not thesis-facing main-page evidence and is better read as provenance or audit support.,Transport-context archive/support layer from a scientifically usable but not frozen branch.
case_mindoro_retro_2023__phase2_official__opendrift__ensemble_sampled_member_centroids__2023_03_03_to_2023_03_06__member_centroid_paths,B,mindoro_ensemble_sampled_member_trajectories,Mindoro ensemble sampled-member trajectories,CASE_MINDORO_RETRO_2023,phase2_official,opendrift,ensemble_sampled_member_centroids,2023-03-03_to_2023-03-06,,member_centroid_paths,output/trajectory_gallery/case_mindoro_retro_2023__phase2_official__opendrift__ensemble_sampled_member_centroids__2023_03_03_to_2023_03_06__member_centroid_paths.png,case_mindoro_retro_2023__phase2_official__opendrift__ensemble_sampled_member_centroids__2023_03_03_to_2023_03_06__member_centroid_paths.png,generated_from_existing_tracks,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/ensemble/member_01.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_08.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_15.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_22.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_29.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_36.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_43.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_50.nc,Generated from stored Mindoro ensemble member NetCDFs using sampled member centroid paths rather than every particle track.,mindoro_trajectory_context,Mindoro transport trajectory context,trajectory_context,scientifically_usable_not_frozen,official_transport_context_not_frozen,not_frozen,Phase 2 / Phase 3 transport context built from stored trajectory outputs.,Read-only transport context preserved from stored trajectory outputs. This layer is not thesis-facing main-page evidence and is better read as provenance or audit support.,Transport-context archive/support layer from a scientifically usable but not frozen branch.
case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay,C,mindoro_centroid_corridor_hull_views,Mindoro centroid/corridor/hull views,CASE_MINDORO_RETRO_2023,phase2_phase3b,opendrift,corridor_hull_view,2023-03-06,,p50_p90_hull_overlay,output/trajectory_gallery/case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay.png,case_mindoro_retro_2023__phase2_phase3b__opendrift__corridor_hull_view__2023_03_06__p50_p90_hull_overlay.png,generated_from_existing_rasters_and_tracks,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/ensemble/mask_p50_2023-03-06_datecomposite.tif;output/CASE_MINDORO_RETRO_2023/ensemble/mask_p90_2023-03-06T09-59-00Z.tif;output/CASE_MINDORO_RETRO_2023/ensemble/member_01.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_06.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_11.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_17.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_22.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_28.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_33.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_39.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_44.nc;output/CASE_MINDORO_RETRO_2023/ensemble/member_50.nc,"Generated from the stored Mindoro p50 date-composite mask, p90 72 h mask, and sampled member centroid/final-position geometry.",mindoro_trajectory_context,Mindoro transport trajectory context,trajectory_context,scientifically_usable_not_frozen,official_transport_context_not_frozen,not_frozen,Phase 2 / Phase 3 transport context built from stored trajectory outputs.,Read-only transport context preserved from stored trajectory outputs. This layer is not thesis-facing main-page evidence and is better read as provenance or audit support.,Transport-context archive/support layer from a scientifically usable but not frozen branch.
case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_overlay__2023_03_14__pygnome_crossmodel_overlay,E,mindoro_crossmodel_comparison_maps,Mindoro March 13 -> March 14 cross-model comparison maps,CASE_MINDORO_RETRO_2023,phase3a_reinit_crossmodel,opendrift_vs_pygnome,comparison_overlay,2023-03-14,,pygnome_crossmodel_overlay,output/trajectory_gallery/case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_overlay__2023_03_14__pygnome_crossmodel_overlay.png,case_mindoro_retro_2023__phase3a_reinit_crossmodel__opendrift_vs_pygnome__comparison_overlay__2023_03_14__pygnome_crossmodel_overlay.png,copied_existing_qa,True,Mindoro transport visuals reflect a scientifically usable but not yet frozen Phase 2 transport framework.,output/CASE_MINDORO_RETRO_2023/phase3b_extended_public_scored_march13_14_reinit_pygnome_comparison/qa/qa_march14_crossmodel_pygnome_reinit_deterministic_overlay.png,"Promoted March 14 PyGNOME comparator overlay reused from the stored comparator bundle. PyGNOME remains comparator-only, and March 13 and March 14 are independent NOAA-published day-specific public-observation products. B1 uses the March 13 public seed observation and the March 14 public target observation, with interpretation limited to neighborhood-scale usefulness rather than exact 1 km overlap.",mindoro_crossmodel_comparator,Mindoro March 13 -> March 14 Track A comparator support,comparator_only,reportable_comparator_inherited_provisional,comparator_only_not_truth,not_frozen,March 13 is the independent public seed observation and March 14 is the independent public target observation for the same-case Track A comparator support; PyGNOME remains comparator-only and separate from truth.,"Same-case Track A comparator support attached to the March 13 -> March 14 R1 primary validation row, using March 13 as the independent public seed observation and March 14 as the independent public target observation. PyGNOME is a comparator, not truth, and Track A is not a co-primary validation row. Archived March 13 -> March 14 R0 comparator outputs are not part of this thesis-facing view.",Same-case Track A comparator-only support attached to the March 13 -> March 14 R1 primary validation row with independent March 13 seed and March 14 target observations.
